district,neighborhood,room,living_room,area,age,floor,price
 Beykoz , Acarlar Mah.,6,2,650,5,0,650000
 Kadıköy , Merdivenköy Mah.,3,1,120,38,3,30000
 Şişli , Feriköy Mah.,2,1,100,30,5,32000
 Kağıthane , Sultan Selim Mah.,2,1,85,25,0,20500
 Bahçelievler , Bahçelievler Mah.,2,1,85,35,5,17500
 Sarıyer , Reşitpaşa Mah.,3,1,170,20,2,50000
 Beylikdüzü , Adnan Kahveci Mah.,3,2,230,5,4,32000
 Maltepe , Fındıklı Mah.,2,1,80,35,1,17000
 Kadıköy , Kozyatağı Mah.,2,1,80,39,7,32000
 Zeytinburnu , Seyitnizam Mah.,2,1,95,27,3,30000
 Fatih , Akşemsettin Mah.,2,1,100,26,4,30000
 Ataşehir , Atatürk Mah.,3,1,134,16,10,55000
 Fatih , Silivrikapı Mah.,2,1,75,35,3,16000
 Üsküdar , Valide-i Atik Mah.,2,1,105,38,4,30000
 Kağıthane , Emniyet Evleri Mah.,2,1,90,31,2,25500
 Üsküdar , Aziz Mahmut Hüdayi Mah.,2,1,85,35,2,25000
 Kağıthane , Çeliktepe Mah.,2,1,150,35,4,30000
 Esenyurt , Güzelyurt Mah.,2,1,120,7,3,18000
 Kağıthane , Harmantepe Mah.,1,1,60,30,1,20000
 Fatih , Seyyid Ömer Mah.,2,1,75,42,0,13000
 Maltepe , Altayçeşme Mah.,3,1,125,25,6,47500
 Sarıyer , Uskumruköy Mah.,4,1,222,8,2,135000
 Şişli , Mecidiyeköy Mah.,2,0,85,27,3,21000
 Şişli , Teşvikiye Mah.,3,1,160,45,4,70000
 Fatih , Haseki Sultan Mah.,2,1,85,35,4,20000
 Şişli , Gülbahar Mah.,2,1,75,11,4,24000
 Maltepe , Altıntepe Mah.,2,1,90,21,3,28000
 Esenyurt , Yeşilkent Mah.,2,1,101,11,5,19000
 Beşiktaş , Yıldız Mah.,3,1,220,30,3,150000
 Şişli , 19 Mayıs Mah.,3,1,171,16,5,103000
